Character Name	Ending ID	Ending Name	Tone (Clinical to Poetic)	Path Forks	Theme/Lesson	Surreality Level (1-10)	Institution Affected	System Status (Final Log)
Lion	L-END-11	The Padded Cell	Muffled	4	Safety is a restriction of volume	3	Medical	Insulated
Lion	L-END-12	Unmonitored Dark	Primal	9	The forest has no sensors	10	Ecological	Unindexed
Lion	L-END-13	The Taxidermy	Frozen	2	The pose is the legacy	4	Historical	Preserved
Lion	L-END-14	The Feedback Loop	Oscillating	7	Fear is its own source	8	Psychological	Vibrating
Lion	L-END-15	Royal Compliance	Stiff	5	Kings are load-bearing ornaments	2	State	Crowned
Lion	L-END-16	The Jungle Basin	Heavy	6	Predation is a closed circuit	5	Economic	Metabolized
Lion	L-END-17	Mechanical Cowardice	Grating	8	The tremor is a gear slip	7	Industrial	Malfunctioning
Lion	L-END-18	The Scent of Pine	Nostalgic	3	Memory is a low-res scent	1	Olfactory	Cached
Lion	L-END-19	Total Displacement	Empty	10	Mass without weight	10	Physics	Sublimated
Lion	L-END-20	The Guard Dog	Alert	4	Vigilance is a fixed node	3	Security	Stationed
Lion	L-END-21	The Roaring Void	Acoustic	9	Sound is the only proof of space	9	Narrative	Resonating
Lion	L-END-22	The Mane Event	Showy	5	Performative courage is currency	2	Entertainment	Marketed
Lion	L-END-23	Synaptic Surge	Electrical	7	Courage is an over-volt	6	Neurological	Fried
Lion	L-END-24	The Stone Lion	Static	2	Architecture is patient	1	Urban	Ornamented
Lion	L-END-25	The Calibration	Rhythmic	5	Adjust the frequency to the fear	4	Scientific	Tuned
Lion	L-END-26	The Prey Cycle	Urgent	6	The hunter is a process	5	Biological	Cycling
Lion	L-END-27	The Badge of Air	Transparent	4	Identity is a vacuum	7	Bureaucracy	Hollowed
Lion	L-END-28	The Kalidah Merge	Hybrid	8	The enemy is a software patch	9	Genetic	Overwritten
Lion	L-END-29	The Desert Crossing	Dry	6	Heat is the ultimate auditor	6	Climatological	Evaporated
Lion	L-END-30	The Golden Fleece	Luxurious	5	Beauty is a defense mechanism	4	Economic	Sheared
